TIMESTAMP,POWER,U10,V10,WS10,U100,V100,WS100,TEMP2,PRESS
20120103 8:00,0.447297006,0.145648769,-1.383094974,1.390742704,0.312498661,-1.686872045,1.71557358,30.5,97.3
20120103 9:00,0.85944071,-0.439199776,-0.561304954,0.712712912,-0.437140878,-0.723188114,0.845040351,27.8,97.2
20120103 10:00,0.605010604,-1.412009483,0.658888867,1.558173713,-1.404994185,0.542774441,1.506191473,28.4,97.1
20120103 11:00,0.374968549,-0.960873826,1.519248231,1.797607771,-1.396528995,2.410014549,2.785401831,24.3,97.1
20120103 12:00,0.216212573,0.871574101,3.226380032,3.342030749,0.984070343,6.143401532,6.221718156,25.1,97.1
20120103 13:00,0.006739513,1.330848803,4.558775584,4.749062366,1.751110549,7.539458684,7.740143759,21.7,97.1
20120103 14:00,0.103339204,2.441634708,5.179391406,5.726052339,3.411228223,7.954886811,8.655443499,22.1,97.1
20120103 15:00,0.418757414,3.316388297,5.347694002,6.292556117,4.650908162,7.9510605,9.211422789,21.7,97.1
20120103 16:00,0.869181554,2.947418241,5.49364391,6.234372278,4.118541815,8.209063231,9.184285809,20.2,97.1
20120103 17:00,0.365209734,2.552093181,5.124167117,5.724532142,3.641669486,8.54577866,9.28935356,18.9,97.2
20120103 18:00,0.240780346,2.319549028,5.280197649,5.767217258,3.165267445,8.133083613,8.72731156,17.7,97.2
20120103 19:00,0.20929334,1.753304015,5.286771969,5.569922156,2.320159383,7.701803623,8.043688123,15.5,97.3
20120103 20:00,0.207460192,1.027378683,4.992680714,5.097290228,1.306217824,7.232807133,7.349809795,16,97.5
20120103 21:00,0.149230797,0.496015293,4.860317735,4.885562368,0.55798915,6.678538553,6.701807897,16.1,97.6
20120103 22:00,0.105495849,0.072397361,4.692015139,4.692573648,0.002108388,6.153240619,6.15324098,16,97.7
20120103 23:00,0.131582258,-0.229910038,4.596906641,4.602652419,-0.390582337,5.880479256,5.893436251,15.9,97.8
20120104 0:00,0.113484418,-0.324865567,4.518453087,4.530116547,-0.506743545,5.694083215,5.716587503,15.8,97.8
20120104 1:00,0.113933719,0.477829312,3.838144166,3.867773454,0.517259027,4.744426434,4.772540109,18,97.8
20120104 2:00,0.096204306,0.516759927,3.766130352,3.801417979,0.556259056,4.619760391,4.653129077,19.1,97.8
20120104 3:00,0.082527587,0.636361197,3.752506118,3.806081677,0.699090329,4.596651563,4.649508886,19.5,97.8
20120104 4:00,0.054778764,0.875162391,3.838630746,3.937130327,0.974622999,4.712803828,4.812526354,20.8,97.8
20120104 5:00,0.055740268,1.04493198,3.934000391,4.070410534,1.183298477,4.850848666,4.993088029,20.9,97.8
20120104 6:00,0.077360627,0.9787098,4.089219353,4.204710191,1.080986714,5.076463798,5.19028101,21,97.8
20120104 7:00,0.095997628,0.536827254,4.262441769,4.296113748,0.507635643,5.34099906,5.365068957,20.1,97.8
20120104 8:00,0.233330937,-0.131816089,4.161233167,4.163320423,-0.35340395,5.274105086,5.285932161,20.1,97.8
20120104 9:00,0.346186334,-0.974643832,3.994336288,4.111526843,-1.493015176,5.300254549,5.506522732,19.8,97.8
20120104 10:00,0.512894936,-1.762888446,2.858172408,3.358113337,-3.433393225,4.726182623,5.841659971,19.7,97.9
20120104 11:00,0.483771252,-3.401586387,2.338991739,4.128156042,-5.948135331,3.842574033,7.081362094,15.1,98
20120104 12:00,0.461054599,-4.083072819,2.09424209,4.588827037,-6.724083952,3.4302639,7.548510808,14.7,98
20120104 13:00,0.513649761,-3.794504654,1.669457906,4.145522316,-6.330031715,2.817271843,6.928659477,11.3,98
20120104 14:00,0.441806549,-3.532826707,1.437359332,3.814035447,-6.069693861,2.494356385,6.562240269,11.1,98
20120104 15:00,0.373620646,-3.486671854,1.266083235,3.709426826,-6.109706878,2.26934938,6.517550517,11.2,98
20120104 16:00,0.450370224,-3.465801834,1.066098929,3.626065261,-6.179603033,1.990827195,6.492371413,8.9,97.9
20120104 17:00,0.637333309,-3.404395813,0.906500748,3.523017805,-6.154784833,1.733589457,6.394271557,8.9,97.8
20120104 18:00,0.531846447,-3.20492658,0.907473908,3.330925288,-5.875706706,1.74940076,6.130606195,8.9,97.7
20120104 19:00,0.467488588,-2.994620991,0.988246158,3.153471951,-5.504446693,1.948258302,5.839061895,7.7,97.7
20120104 20:00,0.21861184,-3.16077846,0.893363093,3.284603186,-5.577381812,1.827241021,5.869071274,7.5,97.8
20120104 21:00,0.181140146,-3.56493443,0.735711231,3.640058861,-5.231446493,1.213640838,5.370377686,7.9,97.8
20120104 22:00,0.237662198,-3.616708135,0.599955461,3.666132061,-4.712290267,0.789168163,4.777914394,7.8,97.8
20120104 23:00,0.163922936,-3.064856636,0.339635257,3.08361773,-3.793510372,0.392669333,3.813778985,13.4,97.8
20120105 0:00,0.087775421,-2.067510473,-0.130887429,2.071649361,-2.421924949,-0.232485264,2.433057718,13.7,97.8
20120105 1:00,0.028548578,-1.349281718,-0.421771157,1.413666178,-1.454357981,-0.607015497,1.575952078,16.8,97.8
20120105 2:00,0,0.001327902,-0.138736249,0.138742604,0.266819607,-0.233351703,0.3544654,18.3,97.8
20120105 3:00,0,1.489564409,0.806720784,1.693989538,1.924818464,0.824413032,2.09393958,18.6,97.7
20120105 4:00,0,2.464615914,1.916162036,3.121859791,3.081520657,2.20628554,3.789916285,20.2,97.7
20120105 5:00,0.018529169,2.803318016,3.014948946,4.116856695,3.477716253,3.636005241,5.031405812,20.3,97.6
20120105 6:00,0.030857985,2.674555233,3.774186613,4.625768075,3.318883742,4.673833645,5.732338984,20.5,97.6
20120105 7:00,0.295127781,2.015345771,4.291617042,4.74126517,2.481617937,5.399516075,5.94249118,19.4,97.6
20120105 8:00,0.40490996,1.231572313,4.978590477,5.12865806,1.445959107,6.442470964,6.602744116,19.1,97.6
20120105 9:00,0.609009381,1.134533694,5.749872182,5.860733471,1.337905763,7.994087086,8.105271135,18.7,97.7
20120105 10:00,0.42632364,0.932991948,4.865098575,4.953751923,1.046220779,7.67339697,7.744391453,18.3,97.7
20120105 11:00,0.674364689,-1.499038433,3.738054497,4.027426926,-3.02024579,6.295511728,6.982503316,14.1,97.8
20120105 12:00,0.555120233,-4.330886583,3.23961659,5.408483544,-6.714134981,4.983131572,8.361292293,14,97.8
20120105 13:00,0.444933683,-4.567884747,2.554032852,5.233417132,-7.056599132,4.053528962,8.137978149,10.9,97.9
20120105 14:00,0.599457245,-4.788554299,1.978235158,5.181087397,-7.573247636,3.334681846,8.274912856,10.8,97.8
20120105 15:00,0.728873872,-4.956505754,1.556230574,5.195074868,-7.987156895,2.765072403,8.45223643,10.5,97.8
20120105 16:00,0.797661838,-5.234558719,1.203247595,5.371071565,-8.467197163,2.235905231,8.757436839,8.3,97.8
20120105 17:00,0.68722368,-5.338595315,0.981822577,5.428128177,-8.667361554,1.878190501,8.868526139,8,97.7
20120105 18:00,0.617420294,-5.453362143,0.791897352,5.510558962,-8.845679095,1.558069994,8.981849518,7.8,97.7
20120105 19:00,0.711423026,-5.571861225,0.526928502,5.596721465,-9.04938622,1.087572595,9.114505203,6.2,97.7
20120105 20:00,0.511025844,-5.674964757,0.185989562,5.678011722,-9.184600514,0.46954635,9.196595042,6.1,97.7
20120105 21:00,0.405215485,-5.931090727,-0.190618262,5.934153059,-9.093670377,-0.258414518,9.097341315,6.8,97.8
20120105 22:00,0.393911074,-5.9805431,-0.727504446,6.024629324,-8.183778555,-1.09403157,8.256581406,7.7,97.8
20120105 23:00,0.372335646,-5.934822981,-1.438102726,6.106575413,-7.785221137,-2.045279339,8.049399712,14.4,97.8
20120106 0:00,0.321951044,-5.563930184,-2.326582192,6.0307797,-7.116825587,-3.198738461,7.80263636,14.7,97.8
20120106 1:00,0.326336221,-4.381405217,-3.129398443,5.384221977,-5.4225922,-4.162626588,6.836078282,18,97.8
20120106 2:00,0.323352863,-2.792676003,-3.54169521,4.510282055,-3.301794633,-4.575026813,5.642049108,19.8,97.7
20120106 3:00,0.231066461,-0.960556447,-3.599561423,3.725521591,-0.925664605,-4.517815221,4.611670992,20.1,97.6
20120106 4:00,0.048722188,0.439309794,-3.342538994,3.371284625,0.793368874,-4.105414996,4.181371361,22.6,97.5
20120106 5:00,0.047194565,1.128337441,-3.005468304,3.210293617,1.60858697,-3.653681802,3.992110062,22.8,97.4
20120106 6:00,0.128535998,1.517960268,-2.631266794,3.0377242,2.042959782,-3.200756699,3.797173701,23,97.3
20120106 7:00,0.098100356,1.95864054,-1.684671995,2.583484564,2.521015979,-2.061888447,3.256824456,23.1,97.2
20120106 8:00,0.083758672,1.993835477,-0.459354936,2.046066194,2.51424813,-0.606568578,2.586381468,23.4,97.2
20120106 9:00,0.014341684,0.870571702,0.589952391,1.051636302,1.82331234,1.087132925,2.122810846,23.7,97.2
20120106 10:00,0,-1.277310883,1.213943053,1.762152329,-1.022260259,1.594885803,1.894380311,23.8,97.2
20120106 11:00,0.06586751,-2.123972193,-0.28816739,2.143431436,-4.543387174,-1.587508998,4.812748885,18.7,97.3
20120106 12:00,0.32200496,-2.722286128,-1.718427286,3.219290931,-5.065742015,-4.64892512,6.875627021,17.4,97.2
20120106 13:00,0.61742928,-2.986991713,-2.406553001,3.835833265,-5.30077093,-5.659663244,7.754351068,15.1,97.2
20120106 14:00,0.665998706,-3.031109311,-2.937957722,4.221281705,-5.194946392,-6.503534224,8.323666585,15.1,97.1
20120106 15:00,0.716437224,-2.759959582,-3.747602485,4.654234768,-4.4935512,-7.746694441,8.955628238,14.6,97.1
20120106 16:00,0.860375256,-2.449153586,-4.537958509,5.156686991,-3.808152741,-8.827755146,9.614119212,14.1,97
20120106 17:00,0.914291363,-2.374302381,-5.270930539,5.78100515,-3.58235271,-9.74790825,10.38532456,14.9,96.9
20120106 18:00,0.970921247,-1.784415403,-5.836090552,6.102793726,-2.644698084,-10.41239705,10.74301821,14.8,96.8
20120106 19:00,0.984822616,-0.053915033,-6.117706121,6.117943692,0.394681081,-10.6090619,10.61640087,14.5,96.8
20120106 20:00,0.96635635,0.587525093,-5.737235772,5.767240244,1.684879079,-9.553031265,9.700475445,14.6,96.8
20120106 21:00,0.974641458,1.208145679,-4.711557148,4.863988768,2.577619801,-7.618564313,8.042800882,14.8,96.8
20120106 22:00,0.939793681,1.154609718,-4.822949608,4.959230436,2.465642674,-7.573271803,7.96453637,14.8,96.8
20120106 23:00,0.955204702,1.820835011,-5.773402155,6.053727164,2.704978402,-7.848006635,8.301091271,20.9,96.8
20120107 0:00,0.917436469,3.347105604,-4.890942408,5.926587008,4.486768293,-6.488039418,7.888329684,21.8,96.7
20120107 1:00,0.973922577,3.786327381,-4.620710721,5.97388003,6.33812361,-7.479498992,9.803811303,25.2,96.8
20120107 2:00,0.888025233,4.315618499,-5.40186858,6.914097713,6.108291146,-7.783844814,9.894415638,23.6,96.7
20120107 3:00,0.883064951,3.698509919,-4.744409153,6.015679,5.850998181,-7.078445152,9.183603078,24,96.6
20120107 4:00,0.97452464,3.982007596,-5.112785799,6.480506394,5.775183316,-7.198476869,9.228803366,27.1,96.5
20120107 5:00,0.966293447,5.298314993,-6.065671516,8.0538508,7.273571583,-8.453405623,11.15190164,27.2,96.4
20120107 6:00,0.969555372,4.431594822,-5.627969375,7.163314313,6.620489207,-8.370919372,10.67254274,27.4,96.3
20120107 7:00,0.97580964,6.496259723,-4.902996885,8.138843213,9.112828257,-6.980030522,11.47887037,26,96.4
20120107 8:00,0.970761295,5.726902391,-2.713579965,6.337264963,8.397661267,-4.122593019,9.355024744,26.6,96.3
20120107 9:00,0.832931958,5.138429939,-1.871252553,5.468550846,7.689060919,-2.947306163,8.234577794,25.3,96.3
20120107 10:00,0.554500198,4.626320499,-1.239620271,4.789519785,7.251483788,-2.114479465,7.553478704,22.2,96.4
20120107 11:00,0.386201071,4.624411424,-1.291274561,4.801309301,7.035978543,-1.965435343,7.305335731,18.8,96.4
20120107 12:00,0.452302218,3.970075876,-2.138133051,4.509225588,6.176942402,-3.086679483,6.905230457,19.9,96.4
20120107 13:00,0.266058014,3.501875166,-1.614793534,3.856253083,5.624747522,-2.129270103,6.014280993,19.1,96.3
20120107 14:00,0.331026922,4.168619703,0.997826077,4.286379254,6.199627164,2.045103059,6.5282328,18.9,96.3
20120107 15:00,0.277353438,5.071612305,3.143744647,5.966940739,7.275959453,5.053860167,8.858955274,19,96.2
20120107 16:00,0.281774559,4.486480736,2.552892068,5.161953826,6.913003251,4.378610651,8.183021764,18.5,96.2
20120107 17:00,0.474857122,4.578593617,1.86054334,4.942179785,7.019263455,3.21527008,7.720623105,18.7,96.1
20120107 18:00,0.639256317,5.274451552,1.840153489,5.586233439,8.028138424,3.009907759,8.57382944,18.7,96
20120107 19:00,0.459365228,5.95312781,1.67884711,6.185326049,9.045370936,2.68394485,9.435162708,18,96
20120107 20:00,0.776733403,6.349260928,1.591397303,6.545659608,9.337288013,2.466067374,9.65745493,18.1,96.1
20120107 21:00,0.645474642,6.893824648,1.485370076,7.052031093,9.693677573,2.170254612,9.933649378,18.3,96.2
20120107 22:00,0.917661119,6.983073917,1.049027259,7.061428999,9.555181127,1.483058812,9.669588917,17.7,96.2
20120107 23:00,0.924436577,7.265617056,0.921250858,7.323789617,9.735465293,1.28452294,9.819841326,18.7,96.2
20120108 0:00,0.949067251,7.784885529,1.516634515,7.931243468,10.31810551,2.050791766,10.51993575,19.1,96.2
20120108 1:00,0.97779555,8.331898693,1.03933166,8.396472243,11.13979591,1.457218969,11.23470249,20.4,96.2
20120108 2:00,0.991121815,9.010922262,0.109705588,9.011590055,12.21785462,0.306753107,12.22170483,21.7,96.2
20120108 3:00,0.992074332,9.911299593,0.324541426,9.916611657,13.55937904,0.466506286,13.56740167,22.8,96.2
20120108 4:00,0.994868984,10.43013873,1.409188253,10.52490406,14.11588316,1.988717189,14.2552851,22.8,96.2
20120108 5:00,0.988992128,9.396421061,2.10752934,9.629870646,12.6162793,2.812387573,12.92594396,20.4,96.3
20120108 6:00,0.992568563,9.214673339,2.226162586,9.479768173,12.40174293,2.990363549,12.75717453,18.9,96.3
20120108 7:00,0.994976816,8.989358973,2.563120884,9.347628759,12.25979406,3.440466613,12.73339549,18.9,96.2
20120108 8:00,0.990052478,8.361823257,2.837771804,8.830234255,11.64952142,3.962246008,12.30490727,20.2,96.3
20120108 9:00,0.988992128,7.839903651,3.184699281,8.462056415,11.05215323,4.569672546,11.95959858,20.5,96.3
20120108 10:00,0.985056253,6.724773565,3.160773248,7.430549578,9.963340828,4.783486687,11.05214483,20.6,96.4
20120108 11:00,0.951008231,6.32651282,3.378101381,7.171912813,9.478348832,5.143690623,10.78409244,16.6,96.5
20120108 12:00,0.988426009,5.804593213,3.335233905,6.694556563,8.647625292,5.112104443,10.04564757,16.1,96.6
20120108 13:00,0.972916143,5.513268779,3.098465871,6.324288369,8.341144763,4.87946008,9.663530753,13.2,96.6
20120108 14:00,0.955555156,5.721420527,3.293861807,6.601831447,8.656765939,5.11453415,10.05475291,12.7,96.7
20120108 15:00,0.921848604,5.716139722,2.623434425,6.289408677,8.779895836,4.197320078,9.731601448,12.4,96.7
20120108 16:00,0.877286942,5.680054218,2.058181897,6.041450872,8.625042516,3.320803585,9.24224512,10.9,96.7
20120108 17:00,0.846186334,5.522950255,1.85829983,5.827199823,8.355124576,2.993400681,8.875165031,10.8,96.7
20120108 18:00,0.850274972,4.990469038,1.819918485,5.31195675,7.73087213,2.990970975,8.289287741,10.9,96.7
20120108 19:00,0.674086122,4.503754802,1.754620353,4.833476999,7.310940036,3.123997387,7.950421617,9.7,96.8
20120108 20:00,0.540131555,5.088163939,2.423552358,5.635868904,7.619033621,3.76726209,8.499525691,9.8,96.8
20120108 21:00,0.446488264,5.293675285,3.255978921,6.214852915,7.292121056,4.50407048,8.570978963,10,96.9
20120108 22:00,0.425056612,4.397698625,2.880639279,5.257169947,5.881772936,3.989580203,7.107179684,10.1,96.9
20120108 23:00,0.501078322,4.235313857,3.002761739,5.191768632,5.513458616,4.033314913,6.83124111,13.8,97
20120109 0:00,0.388052191,4.265678489,2.912540657,5.165162732,5.497865747,3.892391957,6.736263275,13.7,97
20120109 1:00,0.308427088,3.529282455,1.998001879,4.055594427,4.420412811,2.585516257,5.121029558,15.8,97
20120109 2:00,0.321699436,3.952751438,1.441046086,4.207238732,4.942029805,1.910531409,5.298470427,16.9,97
20120109 3:00,0.473805758,4.815080712,1.603635665,5.075100946,6.028731878,2.075500848,6.375994967,17.8,97
20120109 4:00,0.572786744,5.692385313,2.269313974,6.128053236,7.230349571,2.923310823,7.798955128,20.1,97
20120109 5:00,0.783589734,5.885400645,2.729407891,6.487496296,7.521136057,3.54693156,8.315540336,19.7,96.9
20120109 6:00,0.868372812,5.556359422,3.100052829,6.362661202,7.13292111,4.053321267,8.204143883,19.6,96.9
20120109 7:00,0.903490169,5.393710726,3.600176398,6.484858171,7.029996683,4.797194453,8.510812416,20.2,96.9
20120109 8:00,0.920923044,5.306770631,3.583373828,6.403310278,7.069967334,4.930136858,8.619204577,20.5,96.9
20120109 9:00,0.930097768,4.962338099,3.438575205,6.037267498,6.826645997,4.950682502,8.43281405,20.6,96.9
20120109 10:00,0.854983645,4.176549387,3.320463018,5.335638616,6.183118517,5.288477068,8.136273366,20.3,97
20120109 11:00,0.866324,3.609150868,3.756341466,5.209229424,5.390700362,5.953793378,8.03164404,17.2,97.1
20120109 12:00,0.753199022,2.998074311,3.812679496,4.850255098,4.512345308,6.101238591,7.588568542,16.6,97.2
20120109 13:00,0.728154991,2.523439626,3.336771396,4.18351418,3.908288846,5.640170158,6.861941498,14.6,97.1
20120109 14:00,0.525133892,2.577517198,2.915224553,3.891288874,4.10164687,5.208107341,6.629320412,14.6,97.1
20120109 15:00,0.406212933,2.663625331,2.600423452,3.722512865,4.279016633,4.714407591,6.366759166,14.4,97.1
20120109 16:00,0.544301068,2.790915614,2.307366854,3.621208606,4.522337971,4.263611981,6.215297889,12.4,97.1
20120109 17:00,0.676611193,2.587916731,2.051374751,3.302340287,4.406922716,4.056946969,5.989973834,11.9,97
20120109 18:00,0.609818123,2.565869721,1.949570941,3.222501245,4.428406941,3.940924506,5.928041329,11.1,97
20120109 19:00,0.455752849,2.621611217,1.844801972,3.205641853,4.408921249,3.683499667,5.745150683,9.9,97
20120109 20:00,0.26509651,2.737254024,1.768202018,3.258695746,4.502852278,3.41157202,5.649292194,9.7,97.1
20120109 21:00,0.310332123,3.316716001,2.645395038,4.242489828,4.574299817,3.86055478,5.985658027,9.8,97.1
20120109 22:00,0.26010927,3.723545731,3.381248788,5.029675554,4.937533107,4.603219398,6.750471243,9.5,97.2
20120109 23:00,0.25088063,4.491031264,3.201856638,5.515546006,5.935300481,4.331291751,7.347644523,12.6,97.2
20120110 0:00,0.264054132,4.770154729,3.164297951,5.724260447,6.239077428,4.217686423,7.530933934,12.3,97.3
20120110 1:00,0.303898135,5.759824612,2.904532287,6.450727662,7.703311638,3.979659549,8.670565167,14.5,97.2
20120110 2:00,0.175892312,6.281882151,2.970119713,6.948644075,8.237002193,3.988941203,9.152041142,15.3,97.2
20120110 3:00,0.349861615,6.658287274,3.467416157,7.507047637,8.750797482,4.682881369,9.925010553,15.1,97.2
20120110 4:00,0.501860106,6.712293226,3.614763252,7.623738828,8.831373316,4.894175503,10.09683656,16.1,97.1
20120110 5:00,0.854866827,6.447582232,2.676323982,6.980976057,8.443912977,3.611123269,9.183674517,16.9,97
20120110 6:00,0.861121096,6.366164168,2.603099664,6.877802998,8.334986387,3.500289395,9.040134065,16.4,97
20120110 7:00,0.94419683,6.266744119,2.703726948,6.825116941,8.32404399,3.702847854,9.110476967,15.7,97
20120110 8:00,0.981416915,6.241786823,3.169128137,7.000233988,8.43893916,4.404431735,9.519176071,15.8,96.9
20120110 9:00,0.984112721,5.51843437,3.463373097,6.515218423,7.816217282,5.080900551,9.322489099,15.9,96.9
20120110 10:00,0.988300205,4.658021356,3.331749016,5.726928885,7.019909193,5.30093036,8.796532712,15.8,97
20120110 11:00,0.948851587,4.261977705,3.578824936,5.565289021,6.54292015,5.894956245,8.806833325,12.8,96.9
20120110 12:00,0.98278279,3.928940999,3.98223253,5.594171368,5.976402402,6.496079866,8.827028906,12.1,97
20120110 13:00,0.971226771,3.795562662,3.49212375,5.157637463,5.743130389,5.807599497,8.167726647,10.8,96.9
20120110 14:00,0.9289206,3.953489159,2.610736556,4.737723282,6.122135238,4.591702764,7.652729849,11.1,96.8
20120110 15:00,0.880279285,4.340122682,2.509660043,5.013487651,6.826427714,4.54693243,8.202116182,11,96.7
20120110 16:00,0.949489594,4.661294444,2.637241064,5.355623803,7.310380101,4.702536637,8.692267141,10,96.7
20120110 17:00,0.958224004,5.009060046,2.863203224,5.769628693,7.72469905,4.900727259,9.148120194,9.9,96.6
20120110 18:00,0.958754179,5.441925937,3.381613429,6.407017035,8.156923741,5.483833551,9.828928493,9.7,96.6
20120110 19:00,0.938742317,5.422287409,3.447650084,6.425534363,8.709514801,6.273866139,10.73392027,9.3,96.6
20120110 20:00,0.972116387,5.613763059,4.161924109,6.988272173,8.303153959,6.47260274,10.52791299,9.2,96.6
